"team","experience","salary","points3","points2","free_throws","points","off_rebounds","def_rebounds","assists","blocks","turnovers","fouls","effifiency"
"ATL",93,90886495,626,2254,2880,7759,807,2537,1784,354,1136,1329,140.326904553955
"BOS",63,91915088,985,2183,3168,8857,744,2698,2069,341,1037,1686,148.252470272361
"BRK",52,65451210,738,1950,2688,7495,608,2546,1593,372,1152,1522,147.782342770054
"CHI",58,92076887,565,2162,2727,7349,865,2416,1746,339,952,1275,139.102496836529
"CHO",66,100246289,808,2102,2910,8127,634,2636,1805,320,827,1198,145.29938208691
"CLE",128,125790216,1012,2107,3119,8605,727,2639,1760,299,1005,1318,177.858513810418
"DAL",62,92098200,754,1803,2557,6910,534,2109,1291,266,703,1280,148.224302145159
"DEN",74,78382995,868,2347,3215,8769,867,2646,2009,285,1097,1458,167.359480606341
"DET",55,103073911,631,2638,3269,8309,908,2838,1731,310,932,1467,136.376242247855
"GSW",101,98690906,982,2540,3522,9473,759,2854,2475,551,1171,1565,172.391638919092
"HOU",56,84657075,1141,1769,2910,8469,766,2429,1906,292,1046,1314,155.103145868701
"IND",84,84570337,641,2331,2972,7918,679,2436,1713,391,996,1490,135.069716171602
"LAC",124,114776621,841,2401,3242,8911,740,2790,1848,349,1024,1626,147.124188717853
"LAL",66,86269182,592,2249,2841,7354,909,2462,1430,307,1028,1593,143.976774778222
"MEM",83,108342284,750,2140,2890,7995,866,2534,1669,329,973,1748,140.970732851105
"MIA",63,72780438,799,2349,3148,8312,857,2649,1728,464,1019,1647,151.990179644907
"MIL",64,90271843,718,2424,3142,8390,700,2541,1953,422,1064,1601,153.258820555381
"MIN",48,59380935,601,2623,3224,8634,938,2530,1934,370,1095,1644,144.838327876467
"NOP",55,90634300,513,1952,2465,6563,580,2244,1523,380,823,1164,164.25214899256
"NYK",59,97006917,636,2445,3081,8060,961,2591,1499,451,975,1584,143.903330250407
"OKC",55,86981364,611,2380,2991,8104,936,2628,1610,394,1133,1561,146.868029100158
"ORL",57,102409129,614,2168,2782,7408,699,2435,1744,302,978,1432,125.140617170448
"PHI",34,55779169,690,1917,2607,7116,673,2282,1788,369,1184,1516,164.091582443122
"PHO",68,72527291,564,2551,3115,8399,882,2456,1530,385,1171,1886,144.306519382427
"POR",43,103032234,852,2156,3008,8254,710,2437,1519,345,988,1587,143.732051577965
"SAC",68,88194223,558,1838,2396,6348,524,1878,1394,234,847,1302,148.395366577345
"SAS",99,104686678,743,2459,3202,8578,821,2768,1926,485,1038,1479,146.623646218054
"TOR",57,108458469,626,2359,2985,8166,848,2533,1469,379,933,1609,158.765798461565
"UTA",71,80323193,791,2242,3033,8258,771,2774,1651,410,1061,1545,145.819348274774
"WAS",56,98779271,671,2417,3088,8163,748,2393,1861,314,1017,1465,143.011692087198
